#Frequency,Velocity,Velstd
9.987,165.795,0.000000000
10.652,261.180,0.000000000
11.318,201.292,0.000000000
11.984,182.988,0.000000000
12.650,255.864,0.000000000
13.316,235.709,0.000000000
13.981,175.930,0.000000000
14.647,184.879,0.000000000
15.313,213.963,0.000000000
15.979,201.614,0.000000000
16.644,176.247,0.000000000
17.310,175.925,0.000000000
17.976,189.744,0.000000000
18.642,194.645,0.000000000
19.308,190.681,0.000000000
19.973,186.954,0.000000000
20.639,185.575,0.000000000
21.305,185.219,0.000000000
21.971,184.943,0.000000000
22.636,184.041,0.000000000
23.302,181.968,0.000000000
23.968,178.919,0.000000000
24.634,176.255,0.000000000
25.300,175.720,0.000000000
25.965,176.699,0.000000000
26.631,175.543,0.000000000
27.297,171.617,0.000000000
27.963,170.996,0.000000000
28.628,173.915,0.000000000
29.294,176.527,0.000000000
29.960,177.323,0.000000000
30.626,177.834,0.000000000
31.292,179.074,0.000000000
31.957,180.514,0.000000000
32.623,181.881,0.000000000
33.289,183.237,0.000000000
33.955,184.560,0.000000000
34.621,185.879,0.000000000
35.286,187.612,0.000000000
35.952,190.262,0.000000000
36.618,192.718,0.000000000
37.284,193.746,0.000000000
37.949,194.383,0.000000000
38.615,196.342,0.000000000
39.281,200.593,0.000000000
39.947,201.185,0.000000000
40.613,200.310,0.000000000
41.278,199.545,0.000000000
41.944,198.728,0.000000000
42.610,197.811,0.000000000
43.276,197.379,0.000000000
43.941,197.490,0.000000000
44.607,197.352,0.000000000
45.273,196.640,0.000000000
45.939,195.671,0.000000000
46.605,194.634,0.000000000
47.270,193.581,0.000000000
47.936,192.797,0.000000000
48.602,192.318,0.000000000
49.268,192.052,0.000000000
49.933,191.967,0.000000000
