#Frequency,Velocity,Velstd
9.987,375.644,0.000000000
10.652,719.314,0.000000000
11.318,420.483,0.000000000
11.984,546.534,0.000000000
12.650,529.927,0.000000000
13.316,508.115,0.000000000
13.981,490.863,0.000000000
14.647,470.478,0.000000000
15.313,450.440,0.000000000
15.979,397.342,0.000000000
16.644,389.265,0.000000000
17.310,384.977,0.000000000
17.976,376.196,0.000000000
18.642,332.724,0.000000000
19.308,302.441,0.000000000
19.973,283.250,0.000000000
20.639,258.435,0.000000000
21.305,246.549,0.000000000
21.971,237.042,0.000000000
22.636,212.190,0.000000000
23.302,206.735,0.000000000
23.968,204.955,0.000000000
24.634,201.564,0.000000000
25.300,200.329,0.000000000
25.965,199.246,0.000000000
26.631,197.314,0.000000000
27.297,196.502,0.000000000
27.963,195.922,0.000000000
28.628,194.916,0.000000000
29.294,194.315,0.000000000
29.960,193.898,0.000000000
30.626,193.556,0.000000000
31.292,192.739,0.000000000
31.957,192.401,0.000000000
32.623,192.086,0.000000000
33.289,191.600,0.000000000
33.955,191.305,0.000000000
34.621,191.082,0.000000000
35.286,190.923,0.000000000
35.952,190.675,0.000000000
36.618,190.558,0.000000000
37.284,190.500,0.000000000
37.949,190.445,0.000000000
38.615,190.433,0.000000000
39.281,190.507,0.000000000
39.947,190.443,0.000000000
40.613,190.437,0.000000000
41.278,190.478,0.000000000
41.944,190.372,0.000000000
42.610,190.317,0.000000000
43.276,190.258,0.000000000
43.941,190.235,0.000000000
44.607,190.117,0.000000000
45.273,190.095,0.000000000
45.939,190.039,0.000000000
46.605,189.940,0.000000000
47.270,189.861,0.000000000
47.936,189.931,0.000000000
48.602,189.922,0.000000000
49.268,189.981,0.000000000
49.933,190.061,0.000000000
