#Frequency,Velocity,Velstd
9.987,649.000,0.000000000
10.652,538.000,0.000000000
11.318,486.000,0.000000000
11.984,452.000,0.000000000
12.650,738.000,0.000000000
13.316,645.000,0.000000000
13.981,593.000,0.000000000
14.647,563.000,0.000000000
15.313,543.000,0.000000000
15.979,534.000,0.000000000
16.644,553.000,0.000000000
17.310,267.000,0.000000000
17.976,264.000,0.000000000
18.642,342.000,0.000000000
19.308,329.000,0.000000000
19.973,239.000,0.000000000
20.639,230.000,0.000000000
21.305,222.000,0.000000000
21.971,216.000,0.000000000
22.636,212.000,0.000000000
23.302,209.000,0.000000000
23.968,206.000,0.000000000
24.634,205.000,0.000000000
25.300,203.000,0.000000000
25.965,202.000,0.000000000
26.631,201.000,0.000000000
27.297,200.000,0.000000000
27.963,199.000,0.000000000
28.628,198.000,0.000000000
29.294,197.000,0.000000000
29.960,196.000,0.000000000
30.626,195.000,0.000000000
31.292,195.000,0.000000000
31.957,194.000,0.000000000
32.623,194.000,0.000000000
33.289,193.000,0.000000000
33.955,193.000,0.000000000
34.621,192.000,0.000000000
35.286,192.000,0.000000000
35.952,192.000,0.000000000
36.618,192.000,0.000000000
37.284,191.000,0.000000000
37.949,191.000,0.000000000
38.615,191.000,0.000000000
39.281,191.000,0.000000000
39.947,191.000,0.000000000
40.613,191.000,0.000000000
41.278,191.000,0.000000000
41.944,191.000,0.000000000
42.610,191.000,0.000000000
43.276,191.000,0.000000000
43.941,191.000,0.000000000
44.607,191.000,0.000000000
45.273,191.000,0.000000000
45.939,191.000,0.000000000
46.605,191.000,0.000000000
47.270,191.000,0.000000000
47.936,191.000,0.000000000
48.602,190.000,0.000000000
49.268,190.000,0.000000000
49.933,190.000,0.000000000
