#Frequency,Velocity,Velstd
9.987,1048.587,0.000000000
10.652,938.704,0.000000000
11.318,839.850,0.000000000
11.984,750.977,0.000000000
12.650,677.258,0.000000000
13.316,599.176,0.000000000
13.981,557.335,0.000000000
14.647,522.747,0.000000000
15.313,489.046,0.000000000
15.979,459.522,0.000000000
16.644,430.834,0.000000000
17.310,399.952,0.000000000
17.976,370.245,0.000000000
18.642,341.254,0.000000000
19.308,312.450,0.000000000
19.973,290.569,0.000000000
20.639,269.738,0.000000000
21.305,252.299,0.000000000
21.971,242.104,0.000000000
22.636,230.738,0.000000000
23.302,224.246,0.000000000
23.968,217.482,0.000000000
24.634,213.507,0.000000000
25.300,210.369,0.000000000
25.965,207.850,0.000000000
26.631,205.776,0.000000000
27.297,204.032,0.000000000
27.963,199.834,0.000000000
28.628,198.897,0.000000000
29.294,198.176,0.000000000
29.960,196.915,0.000000000
30.626,196.183,0.000000000
31.292,194.846,0.000000000
31.957,194.606,0.000000000
32.623,193.590,0.000000000
33.289,193.078,0.000000000
33.955,192.997,0.000000000
34.621,192.426,0.000000000
35.286,191.973,0.000000000
35.952,191.633,0.000000000
36.618,191.397,0.000000000
37.284,191.248,0.000000000
37.949,191.167,0.000000000
38.615,193.055,0.000000000
39.281,193.757,0.000000000
39.947,194.413,0.000000000
40.613,194.950,0.000000000
41.278,195.303,0.000000000
41.944,211.424,0.000000000
42.610,192.577,0.000000000
43.276,190.334,0.000000000
43.941,189.555,0.000000000
44.607,189.097,0.000000000
45.273,188.573,0.000000000
45.939,188.002,0.000000000
46.605,188.197,0.000000000
47.270,187.689,0.000000000
47.936,187.223,0.000000000
48.602,186.820,0.000000000
49.268,183.114,0.000000000
49.933,181.713,0.000000000
