#Frequency,Velocity,Velstd
20.000,196.035,0.000000000
20.431,196.612,0.000000000
20.872,197.596,0.000000000
21.322,199.060,0.000000000
21.782,200.544,0.000000000
22.252,201.447,0.000000000
22.732,202.195,0.000000000
23.222,203.013,0.000000000
23.723,201.972,0.000000000
24.235,199.931,0.000000000
24.758,197.226,0.000000000
25.292,193.068,0.000000000
25.837,188.189,0.000000000
26.395,183.038,0.000000000
26.964,178.559,0.000000000
27.545,176.616,0.000000000
28.140,177.329,0.000000000
28.747,178.003,0.000000000
29.367,176.753,0.000000000
30.000,173.783,0.000000000
