#Frequency,Velocity,Velstd
48.202,192.808,3.025776833
40.777,193.968,1.975394954
34.367,194.407,1.394679288
29.458,198.167,1.802775638
25.844,206.750,3.491060011
23.440,223.000,5.603570290
21.644,244.875,8.176758221
19.956,268.500,6.873863542
19.205,307.286,12.836491351
17.953,341.600,17.984437717
18.053,408.500,16.500000000
16.240,437.000,16.000000000
15.500,496.000,10.000000000
15.458,588.250,35.779707936
13.652,617.800,14.133647795
12.779,687.750,20.178887482
11.660,746.250,21.217622393
10.377,789.750,37.177782344
10.286,931.000,38.738439136
