#Frequency,Velocity,Velstd
1.997,60.187,0.000000000
2.663,88.084,0.000000000
3.329,111.276,0.000000000
3.995,141.895,0.000000000
4.660,171.323,0.000000000
5.326,213.023,0.000000000
5.992,263.335,0.000000000
6.658,275.295,0.000000000
7.324,284.097,0.000000000
7.989,298.383,0.000000000
8.655,306.345,0.000000000
9.321,307.672,0.000000000
9.987,294.749,0.000000000
10.652,270.283,0.000000000
11.318,258.706,0.000000000
11.984,247.711,0.000000000
12.650,234.643,0.000000000
13.316,224.580,0.000000000
13.981,216.883,0.000000000
14.647,211.390,0.000000000
15.313,208.347,0.000000000
15.979,205.695,0.000000000
16.644,202.693,0.000000000
17.310,198.463,0.000000000
17.976,193.931,0.000000000
18.642,191.773,0.000000000
19.308,189.502,0.000000000
19.973,187.987,0.000000000
20.639,186.614,0.000000000
21.305,185.644,0.000000000
21.971,184.545,0.000000000
22.636,183.637,0.000000000
23.302,183.051,0.000000000
23.968,182.767,0.000000000
24.634,182.501,0.000000000
25.300,182.157,0.000000000
25.965,182.034,0.000000000
26.631,182.055,0.000000000
27.297,181.652,0.000000000
27.963,181.419,0.000000000
28.628,181.378,0.000000000
29.294,181.400,0.000000000
29.960,181.388,0.000000000
30.626,181.277,0.000000000
31.292,181.410,0.000000000
31.957,181.555,0.000000000
32.623,181.517,0.000000000
33.289,181.783,0.000000000
33.955,181.963,0.000000000
34.621,182.309,0.000000000
35.286,182.480,0.000000000
35.952,182.735,0.000000000
36.618,183.139,0.000000000
37.284,183.247,0.000000000
37.949,183.662,0.000000000
38.615,183.922,0.000000000
39.281,184.039,0.000000000
39.947,184.208,0.000000000
40.613,184.472,0.000000000
41.278,184.531,0.000000000
41.944,184.619,0.000000000
42.610,184.615,0.000000000
43.276,184.782,0.000000000
43.941,184.720,0.000000000
44.607,184.787,0.000000000
45.273,184.766,0.000000000
45.939,184.810,0.000000000
46.605,184.793,0.000000000
47.270,184.808,0.000000000
47.936,184.875,0.000000000
48.602,184.814,0.000000000
49.268,184.702,0.000000000
49.933,184.654,0.000000000
50.599,184.604,0.000000000
51.265,184.427,0.000000000
51.931,183.989,0.000000000
52.597,183.638,0.000000000
53.262,200.476,0.000000000
53.928,224.765,0.000000000
54.594,286.952,0.000000000
55.260,500.088,0.000000000
55.925,529.724,0.000000000
56.591,279.437,0.000000000
57.257,252.842,0.000000000
57.923,225.686,0.000000000
58.589,227.232,0.000000000
59.254,223.333,0.000000000
59.920,224.558,0.000000000
60.586,216.838,0.000000000
61.252,213.213,0.000000000
61.917,199.063,0.000000000
62.583,209.730,0.000000000
63.249,210.396,0.000000000
63.915,212.434,0.000000000
64.581,213.730,0.000000000
65.246,232.080,0.000000000
65.912,228.021,0.000000000
66.578,235.021,0.000000000
67.244,246.765,0.000000000
67.909,263.489,0.000000000
68.575,294.877,0.000000000
69.241,316.282,0.000000000
69.907,336.637,0.000000000
70.573,435.793,0.000000000
71.238,537.250,0.000000000
71.904,721.774,0.000000000
72.570,1034.440,0.000000000
73.236,1589.244,0.000000000
73.901,1594.582,0.000000000
74.567,1110.504,0.000000000
75.233,929.793,0.000000000
75.899,799.614,0.000000000
76.565,667.200,0.000000000
77.230,638.222,0.000000000
77.896,592.110,0.000000000
78.562,614.634,0.000000000
79.228,629.802,0.000000000
79.893,624.196,0.000000000
