#Frequency,Velocity,Velstd
56.091,188.667,2.260776661
51.395,188.517,1.849896356
47.202,188.810,2.129588550
43.881,191.409,2.269543224
40.193,191.190,2.280748574
36.519,189.435,4.480160003
32.704,185.000,6.391959235
29.665,183.000,7.661976400
27.054,182.000,9.852762205
25.518,187.200,9.141115906
23.562,188.500,7.198710202
21.171,184.700,4.473253849
19.599,186.455,6.169774364
18.217,189.000,5.244044241
17.430,197.200,9.516301803
16.243,200.400,10.781465578
15.423,207.500,14.773286703
14.603,214.250,21.034198345
13.725,219.600,19.764614846
12.303,214.667,2.285218200
11.636,221.400,2.653299832
10.673,241.500,5.024937811
9.476,255.000,13.000000000
9.492,303.750,13.917165660
8.651,359.000,27.313000567
7.841,422.000,62.000000000
