#Frequency,Velocity,Velstd
47.486,189.944,1.648980231
43.837,191.216,1.211100351
39.953,190.049,2.537054366
35.877,186.108,4.458722298
32.414,183.364,5.855938099
29.672,183.042,6.432205212
27.318,183.773,7.633251530
25.506,187.111,7.489910909
23.597,188.773,5.550854301
21.408,186.765,3.281488396
19.792,188.294,4.308196100
18.196,188.778,4.755763235
17.015,192.500,7.533259587
16.362,201.875,9.584329658
15.022,202.111,5.526591162
13.859,203.333,3.815174381
13.045,208.714,2.185294077
12.208,213.000,2.768874621
11.545,219.667,2.054804668
11.024,228.750,2.586020108
10.548,238.667,2.054804668
10.267,253.333,8.498365856
9.755,262.500,8.500000000
9.900,290.500,14.500000000
8.912,311.000,5.000000000
9.092,346.000,11.000000000
8.313,345.000,3.000000000
8.463,383.000,19.815818597
8.009,431.000,32.000000000
7.475,438.667,48.306889318
