#Frequency,Velocity,Velstd
8.006,572.000,0.000000000
8.407,524.000,0.000000000
8.807,474.000,0.000000000
9.207,414.000,0.000000000
9.608,354.000,0.000000000
10.008,298.000,0.000000000
10.408,258.000,0.000000000
10.809,235.000,0.000000000
11.209,226.000,0.000000000
11.609,223.000,0.000000000
12.010,222.000,0.000000000
12.410,221.000,0.000000000
12.810,218.000,0.000000000
13.211,215.000,0.000000000
13.611,212.000,0.000000000
14.011,210.000,0.000000000
14.412,209.000,0.000000000
14.812,209.000,0.000000000
15.212,210.000,0.000000000
15.612,212.000,0.000000000
16.013,214.000,0.000000000
16.413,216.000,0.000000000
16.813,216.000,0.000000000
17.214,214.000,0.000000000
17.614,209.000,0.000000000
18.014,202.000,0.000000000
18.415,194.000,0.000000000
18.815,186.000,0.000000000
19.215,181.000,0.000000000
19.616,177.000,0.000000000
20.016,175.000,0.000000000
20.416,174.000,0.000000000
20.817,175.000,0.000000000
21.217,175.000,0.000000000
21.617,177.000,0.000000000
22.018,178.000,0.000000000
22.418,180.000,0.000000000
22.818,182.000,0.000000000
23.219,184.000,0.000000000
23.619,186.000,0.000000000
24.019,188.000,0.000000000
24.420,190.000,0.000000000
24.820,192.000,0.000000000
25.220,194.000,0.000000000
25.620,195.000,0.000000000
26.021,196.000,0.000000000
26.421,197.000,0.000000000
26.821,197.000,0.000000000
27.222,197.000,0.000000000
27.622,197.000,0.000000000
28.022,197.000,0.000000000
28.423,197.000,0.000000000
28.823,197.000,0.000000000
29.223,196.000,0.000000000
29.624,196.000,0.000000000
30.024,196.000,0.000000000
30.424,196.000,0.000000000
30.825,196.000,0.000000000
31.225,195.000,0.000000000
31.625,195.000,0.000000000
32.026,195.000,0.000000000
32.426,195.000,0.000000000
32.826,195.000,0.000000000
33.227,195.000,0.000000000
33.627,194.000,0.000000000
34.027,194.000,0.000000000
34.428,194.000,0.000000000
34.828,195.000,0.000000000
35.228,195.000,0.000000000
35.629,195.000,0.000000000
36.029,195.000,0.000000000
36.429,196.000,0.000000000
36.829,196.000,0.000000000
37.230,197.000,0.000000000
37.630,197.000,0.000000000
38.030,198.000,0.000000000
38.431,198.000,0.000000000
38.831,199.000,0.000000000
39.231,199.000,0.000000000
39.632,200.000,0.000000000
40.032,200.000,0.000000000
40.432,200.000,0.000000000
40.833,200.000,0.000000000
41.233,200.000,0.000000000
41.633,200.000,0.000000000
42.034,199.000,0.000000000
42.434,199.000,0.000000000
42.834,198.000,0.000000000
43.235,197.000,0.000000000
43.635,197.000,0.000000000
44.035,196.000,0.000000000
44.436,195.000,0.000000000
44.836,194.000,0.000000000
45.236,193.000,0.000000000
45.637,192.000,0.000000000
46.037,191.000,0.000000000
46.437,190.000,0.000000000
46.837,189.000,0.000000000
47.238,188.000,0.000000000
47.638,187.000,0.000000000
