#Frequency,Velocity,Velstd
11.318,597.667,50.075498555
11.650,576.916,49.139648871
11.991,555.639,48.396076284
12.342,537.700,45.250993192
12.704,519.777,42.334591647
13.076,504.497,39.080360575
13.460,489.914,35.842241922
13.854,476.864,32.201049657
14.260,464.564,27.811711870
14.678,452.464,23.276440179
15.108,440.408,19.412665313
15.551,427.523,17.532271068
16.007,413.560,18.148783279
16.476,394.749,17.033422044
16.959,368.796,7.654414467
17.455,340.707,11.588625803
17.967,317.409,18.703211412
18.494,300.681,14.786216682
19.035,284.774,10.643789777
19.593,270.278,7.814115358
20.168,257.731,6.536192753
20.759,247.205,5.787195876
21.367,238.226,5.192635462
21.993,230.424,3.614850895
22.638,223.322,1.697871565
23.301,218.341,0.943950133
23.984,213.921,0.826177424
24.687,210.456,1.275601255
25.410,207.614,1.565916128
26.155,205.192,1.121205986
26.921,203.274,0.646832785
27.710,201.506,0.179010243
28.522,199.879,0.396364360
29.358,198.603,0.495604810
30.218,197.741,0.836719815
31.104,197.094,0.827282745
32.015,196.333,0.942809042
32.954,196.002,0.708806845
33.919,195.351,0.917545568
34.913,194.853,0.645411197
35.936,194.341,0.466001196
36.990,193.147,0.208394877
38.074,192.604,0.434088542
39.189,191.758,0.877913346
40.338,191.333,0.471404521
41.520,190.667,0.942809042
42.737,190.730,0.901347604
43.989,191.000,0.000000000
45.278,191.003,0.003623046
46.605,191.333,0.942809042
