#Frequency,Velocity,Velstd
19.973,226.000,0.000000000
20.639,228.000,0.000000000
21.305,222.000,0.000000000
21.971,211.000,0.000000000
22.636,207.000,0.000000000
23.302,206.000,0.000000000
23.968,205.000,0.000000000
24.634,205.000,0.000000000
25.300,203.000,0.000000000
25.965,201.000,0.000000000
26.631,199.000,0.000000000
27.297,198.000,0.000000000
27.963,197.000,0.000000000
28.628,197.000,0.000000000
29.294,197.000,0.000000000
29.960,196.000,0.000000000
30.626,196.000,0.000000000
31.292,195.000,0.000000000
31.957,195.000,0.000000000
32.623,194.000,0.000000000
33.289,194.000,0.000000000
33.955,193.000,0.000000000
34.621,193.000,0.000000000
35.286,193.000,0.000000000
35.952,192.000,0.000000000
36.618,192.000,0.000000000
37.284,191.000,0.000000000
37.949,190.000,0.000000000
38.615,190.000,0.000000000
39.281,190.000,0.000000000
39.947,190.000,0.000000000
40.613,190.000,0.000000000
41.278,190.000,0.000000000
41.944,191.000,0.000000000
42.610,191.000,0.000000000
43.276,191.000,0.000000000
43.941,191.000,0.000000000
44.607,191.000,0.000000000
45.273,191.000,0.000000000
45.939,191.000,0.000000000
46.605,191.000,0.000000000
47.270,191.000,0.000000000
47.936,191.000,0.000000000
48.602,191.000,0.000000000
