#Frequency,Velocity,Velstd
4.003,-840.804,0.000000000
4.404,3503.350,0.000000000
4.804,2857.212,0.000000000
5.204,866.444,0.000000000
5.604,515.330,0.000000000
6.005,334.931,0.000000000
6.405,350.941,0.000000000
6.805,222.207,0.000000000
7.206,243.063,0.000000000
7.606,540.737,0.000000000
8.006,512.688,0.000000000
8.407,665.071,0.000000000
8.807,843.540,0.000000000
9.207,592.670,0.000000000
9.608,435.508,0.000000000
10.008,554.396,0.000000000
10.408,275.589,0.000000000
10.809,240.724,0.000000000
11.209,224.483,0.000000000
11.609,216.903,0.000000000
12.010,209.386,0.000000000
12.410,208.178,0.000000000
12.810,207.660,0.000000000
13.211,205.023,0.000000000
13.611,201.701,0.000000000
14.011,200.803,0.000000000
14.412,196.826,0.000000000
14.812,195.293,0.000000000
15.212,193.809,0.000000000
15.612,193.707,0.000000000
16.013,193.181,0.000000000
16.413,192.389,0.000000000
16.813,192.745,0.000000000
17.214,198.918,0.000000000
17.614,196.243,0.000000000
18.014,194.480,0.000000000
18.415,192.179,0.000000000
18.815,192.030,0.000000000
19.215,198.540,0.000000000
19.616,196.760,0.000000000
20.016,193.409,0.000000000
20.416,190.947,0.000000000
20.817,202.061,0.000000000
21.217,199.104,0.000000000
21.617,196.851,0.000000000
22.018,191.892,0.000000000
22.418,189.307,0.000000000
22.818,201.620,0.000000000
23.219,198.580,0.000000000
23.619,191.456,0.000000000
24.019,186.598,0.000000000
24.420,199.414,0.000000000
24.820,208.834,0.000000000
25.220,187.087,0.000000000
25.620,184.052,0.000000000
26.021,183.527,0.000000000
26.421,187.318,0.000000000
26.821,183.534,0.000000000
27.222,182.873,0.000000000
27.622,182.848,0.000000000
28.022,184.161,0.000000000
28.423,183.070,0.000000000
28.823,182.794,0.000000000
29.223,182.781,0.000000000
29.624,182.882,0.000000000
30.024,183.775,0.000000000
30.424,183.357,0.000000000
30.825,183.154,0.000000000
31.225,183.295,0.000000000
31.625,184.273,0.000000000
32.026,183.931,0.000000000
32.426,183.816,0.000000000
32.826,183.808,0.000000000
33.227,183.906,0.000000000
33.627,184.735,0.000000000
34.027,184.498,0.000000000
34.428,184.092,0.000000000
34.828,184.139,0.000000000
35.228,185.425,0.000000000
35.629,184.680,0.000000000
36.029,184.748,0.000000000
36.429,184.391,0.000000000
36.829,184.421,0.000000000
37.230,185.168,0.000000000
37.630,184.643,0.000000000
38.030,184.492,0.000000000
38.431,184.647,0.000000000
38.831,185.799,0.000000000
39.231,185.296,0.000000000
39.632,185.263,0.000000000
40.032,185.469,0.000000000
40.432,185.475,0.000000000
40.833,185.652,0.000000000
41.233,185.945,0.000000000
41.633,186.066,0.000000000
42.034,186.304,0.000000000
42.434,186.823,0.000000000
42.834,187.074,0.000000000
43.235,187.102,0.000000000
43.635,187.189,0.000000000
44.035,187.386,0.000000000
44.436,187.800,0.000000000
44.836,188.096,0.000000000
45.236,187.832,0.000000000
45.637,187.893,0.000000000
46.037,187.959,0.000000000
46.437,188.581,0.000000000
46.837,188.363,0.000000000
47.238,188.152,0.000000000
47.638,188.256,0.000000000
48.038,188.863,0.000000000
48.439,189.216,0.000000000
48.839,189.088,0.000000000
49.239,188.936,0.000000000
49.640,189.031,0.000000000
50.040,189.668,0.000000000
50.440,189.347,0.000000000
50.841,189.067,0.000000000
51.241,189.255,0.000000000
51.641,190.045,0.000000000
52.042,190.249,0.000000000
52.442,189.885,0.000000000
52.842,189.993,0.000000000
53.243,190.102,0.000000000
53.643,191.147,0.000000000
54.043,191.029,0.000000000
54.444,190.583,0.000000000
54.844,190.269,0.000000000
55.244,949.815,0.000000000
55.645,3716.826,0.000000000
56.045,191.181,0.000000000
56.445,190.936,0.000000000
56.845,190.871,0.000000000
57.246,190.445,0.000000000
57.646,190.671,0.000000000
58.046,191.021,0.000000000
58.447,191.194,0.000000000
58.847,190.589,0.000000000
59.247,190.717,0.000000000
59.648,190.958,0.000000000
60.048,191.162,0.000000000
60.448,190.765,0.000000000
60.849,190.682,0.000000000
61.249,190.715,0.000000000
61.649,191.224,0.000000000
62.050,191.306,0.000000000
62.450,190.831,0.000000000
62.850,190.819,0.000000000
63.251,190.678,0.000000000
63.651,191.112,0.000000000
64.051,190.788,0.000000000
64.452,190.927,0.000000000
64.852,190.895,0.000000000
65.252,191.386,0.000000000
65.653,191.167,0.000000000
66.053,191.129,0.000000000
66.453,191.050,0.000000000
66.853,191.070,0.000000000
67.254,191.390,0.000000000
67.654,191.112,0.000000000
68.054,191.071,0.000000000
68.455,190.976,0.000000000
68.855,191.296,0.000000000
69.255,191.070,0.000000000
69.656,191.063,0.000000000
70.056,190.987,0.000000000
70.456,191.063,0.000000000
70.857,191.107,0.000000000
71.257,191.249,0.000000000
71.657,190.892,0.000000000
72.058,685.357,0.000000000
72.458,200.628,0.000000000
72.858,8270.144,0.000000000
73.259,-51675.322,0.000000000
73.659,-22758.097,0.000000000
74.059,-18522.518,0.000000000
74.460,278.683,0.000000000
74.860,-3094.848,0.000000000
75.260,280.072,0.000000000
75.661,196.107,0.000000000
76.061,260.948,0.000000000
76.461,199.306,0.000000000
76.861,199.714,0.000000000
77.262,201.275,0.000000000
77.662,191.506,0.000000000
78.062,202.855,0.000000000
78.463,191.775,0.000000000
78.863,204.632,0.000000000
79.263,195.898,0.000000000
79.664,191.404,0.000000000
80.064,193.545,0.000000000
