#Frequency,Velocity,Velstd
7.324,649.003,0.000000000
7.989,863.606,0.000000000
8.655,997.703,0.000000000
9.321,947.846,0.000000000
9.987,4727.364,0.000000000
10.652,1646.340,0.000000000
11.318,2555.124,0.000000000
11.984,1310.010,0.000000000
12.650,1100.667,0.000000000
13.316,805.808,0.000000000
13.981,661.659,0.000000000
14.647,593.255,0.000000000
15.313,556.486,0.000000000
15.979,530.342,0.000000000
16.644,503.297,0.000000000
17.310,468.989,0.000000000
17.976,426.865,0.000000000
18.642,380.615,0.000000000
19.308,334.624,0.000000000
19.973,294.785,0.000000000
20.639,266.784,0.000000000
21.305,249.468,0.000000000
21.971,238.376,0.000000000
22.636,230.938,0.000000000
23.302,225.742,0.000000000
23.968,221.891,0.000000000
24.634,218.884,0.000000000
25.300,215.903,0.000000000
25.965,213.592,0.000000000
26.631,211.487,0.000000000
27.297,209.872,0.000000000
27.963,208.474,0.000000000
28.628,207.291,0.000000000
29.294,206.183,0.000000000
29.960,205.146,0.000000000
30.626,204.200,0.000000000
31.292,203.293,0.000000000
31.957,202.491,0.000000000
32.623,201.742,0.000000000
33.289,201.128,0.000000000
33.955,200.664,0.000000000
34.621,199.763,0.000000000
35.286,199.132,0.000000000
35.952,198.519,0.000000000
36.618,197.984,0.000000000
37.284,197.497,0.000000000
37.949,197.104,0.000000000
38.615,196.791,0.000000000
39.281,196.545,0.000000000
39.947,196.361,0.000000000
40.613,196.150,0.000000000
41.278,195.952,0.000000000
41.944,195.693,0.000000000
42.610,195.398,0.000000000
43.276,195.109,0.000000000
43.941,194.815,0.000000000
44.607,194.581,0.000000000
45.273,194.460,0.000000000
45.939,194.604,0.000000000
46.605,194.799,0.000000000
47.270,195.144,0.000000000
47.936,195.676,0.000000000
48.602,196.293,0.000000000
49.268,196.936,0.000000000
49.933,197.647,0.000000000
